Day,Ref,Title,Verse_Text,Verse_Ref,Image_URL,Youtube_Link
25,이사야 17:1-14,다메섹과 이스라엘 심판,그 날에 사람이 자기를 지으신 이를 쳐다볼 것이며 그 눈이 이스라엘의 거룩하신 이를 바라볼 것이요,이사야 17:7,,
26,이사야 18:1-7,구스에 대한 예언,그 때에 키가 크고 피부가 매끄러운 백성 곧 땅의 이쪽 저쪽에서 두려워하는 백성에게서 만군의 여호와께 예물이 보내어질 것이라,이사야 18:7,,
27,이사야 19:1-15,애굽 심판 (1),보라 여호와께서 빠른 구름을 타고 애굽에 임하시리니 애굽의 우상들이 그 앞에서 떨리라,이사야 19:1,,
28,이사야 19:16-25,애굽의 회복과 화해 (2),그 날에 이스라엘이 애굽 앗수르와 더불어 셋이 세계 중에 복이 되리니,이사야 19:24,,
29,이사야 20:1-6,애굽 의지의 어리석음,애굽을 바라보며 영광으로 삼던 자들이 한탄하고 수치를 당하리라,이사야 20:5,,
30,이사야 21:1-10,바벨론 멸망의 환상,무너졌도다 무너졌도다 바벨론이여 그의 모든 신들의 조각 형상들이 다 땅에 깨어졌도다,이사야 21:9,,
31,이사야 21:11-17,두마와 아라비아의 경고,에돔에서 나를 불러 말하되 파수꾼아 밤이 어떻게 되었느냐,이사야 21:11,,
32,이사야 22:1-14,환상의 골짜기 심판 (1),먹고 마시자 내일이면 죽으리라 하는도다 이를 용서하지 아니하시리라,이사야 22:13,,고전 15:32
33,이사야 22:15-25,셉나와 엘리아김 (2),내가 그를 그의 주인의 집과 예루살렘 주민에게 아버지가 되게 하고 다윗 집의 열쇠를 그의 어깨에 두리니,이사야 22:21-22,,
34,이사야 23:1-18,두로의 심판과 회복,그 무역과 이익이 여호와 앞에 거룩하게 되리니 그것을 저축하거나 쌓아 두지 아니하고,이사야 23:18,,
35,이사야 24:1-23,땅의 심판 (작은 묵시록 1),달이 무색하고 해가 부끄러워하리니 이는 만군의 여호와께서 시온 산과 예루살렘에서 왕이 되시고,이사야 24:23,,
36,이사야 25:1-12,구원의 찬양 (작은 묵시록 2),사망을 영원히 멸하실 것이라 주 여호와께서 모든 얼굴에서 눈물을 씻기시며,이사야 25:8,,
37,이사야 26:1-21,의인의 노래 (작은 묵시록 3),주의 죽은 자들은 살아나고 우리의 시체들은 일어나리이다,이사야 26:19,,
38,이사야 27:1-13,이스라엘 회복 (작은 묵시록 4),그 날에 큰 나팔이 울리리니 앗수르와 애굽에서 잃어버린 자들이 와서 여호와께 경배하리라,이사야 27:13,,
39,이사야 28:1-13,에브라임과 유다에 대한 화 (1),그러므로 그들이 가다가 넘어져 뒤로 꺾이고 상하며 걸리며 잡히리라,이사야 28:13,,
40,이사야 28:14-29,시온의 귀한 모퉁잇돌 (2),보라 내가 시온에 한 돌 곧 시험 돌 귀한 모퉁잇돌 견고한 기초를 두었노니 믿는 자는 급히 피하지 않으리라,이사야 28:16,,고전 3:11
41,이사야 29:1-14,아리엘 예루살렘에 대한 화 (1),이 백성이 입으로는 나를 가까이하며 입술로는 나를 공경하나 그들의 마음은 내게서 멀리 떠났나니,이사야 29:13,마 15:8-9,
42,이사야 29:15-24,모든 일의 변혁 (2),그 날에 귀먹은 자가 책의 말을 들을 것이며 어둡고 캄캄한 가운데에서 눈먼 자의 눈이 볼 것이며,이사야 29:18,,
43,이사야 30:1-17,애굽 의지에 대한 화 (1),너희가 돌이켜 조용히 있으면 구원을 얻을 것이요 잠잠하고 신뢰하여야 힘을 얻을 것이거늘,이사야 30:15,,
44,이사야 30:18-33,은혜와 심판 (2),주께서는 너희에게 은혜를 베풀기 위하여 기다리시며 너희를 불쌍히 여기시려고 그 보좌에서 높이 일어나시리니,이사야 30:18,,
45,이사야 31:1-9,애굽 의지의 헛됨,이스라엘의 거룩한 이를 앙망하지 아니하며 여호와를 구하지 아니하는 자는 화 있을진저,이사야 31:1,,
46,이사야 32:1-20,의로운 왕의 통치,보라 장차 한 왕이 공의로 다스릴 것이요 방백들이 정의로 출사하리니,이사야 32:1,,
47,이사야 33:1-24,탈취자의 심판과 시온의 구원,여호와는 우리 재판장이시요 여호와는 우리에게 율법을 세우신 이시요 여호와는 우리의 왕이시니 그가 우리를 구원하실 것임이라,이사야 33:22,,
48,이사야 34:1-17,열방에 대한 하나님의 진노,여호와께서 만국을 향하여 분노하시며 그의 모든 군대를 향하여 진노하사 그들을 진멸하시고,이사야 34:2,,
49,이사야 35:1-10,광야에 핀 꽃과 구원의 대로,여호와께서 속량한 자들이 돌아오되 노래하며 시온에 이르러 그들의 머리 위에 영원한 기쁨을 얻고,이사야 35:10,,
50,이사야 36:1-22,앗수르의 예루살렘 위협,너희 신 중에 누가 자기 땅을 내 손에서 건졌느냐 여호와인들 어찌 예루살렘을 내 손에서 건지겠느냐,이사야 36:20,,
51,이사야 37:1-20,히스기야의 기도,세계의 여러 나라가 알게 하시고 여호와여 오직 주만 하나님이신 줄 알게 하옵소서,이사야 37:20,,
52,이사야 37:21-38,앗수르의 패배,여호와의 사자가 나가서 앗수르 진영에서 십팔만 오천 명을 친지라,이사야 37:36,,
53,이사야 38:1-22,히스기야의 병과 회복,내가 너를 고치고 세째 날에 네가 여호와의 성전에 올라가리라,이사야 38:5,,
54,이사야 39:1-8,바벨론 사신과 포로 예언,네 몸에서 태어날 네 아들 중에서 사로잡혀 가서 바벨론 왕궁의 내시가 될 자도 있으리라,이사야 39:7,,
55,이사야 40:1-11,하나님의 위로 (1),광야에서 외치는 자의 소리여 이르되 너희는 여호와의 길을 예비하라 사막에서 우리 하나님의 대로를 평탄하게 하라,이사야 40:3,마 3:3,막 1:3
56,이사야 40:12-31,하나님의 능력과 지혜 (2),오직 여호와를 앙망하는 자는 새 힘을 얻으리니 독수리가 날개치며 올라감 같을 것이요,이사야 40:31,,
57,이사야 41:1-20,이스라엘의 도움자 하나님 (1),두려워하지 말라 내가 너와 함께 함이라 놀라지 말라 나는 네 하나님이 됨이라,이사야 41:10,,
58,이사야 41:21-29,우상의 무능함 (2),너희가 행한 것을 보이라 그리하면 우리가 함께 연구하리라 장래 일을 알려주어라,이사야 41:22,,
59,이사야 42:1-9,여호와의 종 첫째 노래,내가 그를 붙들고 내 영을 그에게 주었으니 그가 열방에 정의를 베풀리라,이사야 42:1,마 12:18-21,
60,이사야 42:10-25,새 노래와 이스라엘의 눈먼 종,너희는 여호와께 새 노래로 노래하며 땅 끝에서부터 찬송하라,이사야 42:10,,
61,이사야 43:1-13,유일한 구원자 (1),나는 여호와라 나 외에 구원자가 없느니라,이사야 43:11,,
62,이사야 43:14-28,새 일을 행하시는 하나님 (2),보라 내가 새 일을 행하리니 이제 나타낼 것이라 너희가 그것을 알지 못하겠느냐,이사야 43:19,,
63,이사야 44:1-20,이스라엘과 우상 (1),나는 처음이요 마지막이라 나 외에 다른 신이 없느니라,이사야 44:6,,
64,이사야 44:21-28,고레스를 통한 구원 (2),나는 고레스에 대하여 이르기를 그는 나의 목자라 나의 모든 기쁨을 성취하리라,이사야 44:28,,
65,이사야 45:1-13,고레스와 하나님의 주권 (1),나는 여호와라 나 외에 다른 이가 없나니 나 밖에 신이 없느니라,이사야 45:5,,
66,이사야 45:14-25,온 땅의 구원 (2),땅 끝의 모든 사람들아 내게로 돌이키라 그리하면 구원을 얻으리라,이사야 45:22,,
67,이사야 46:1-13,바벨론 우상과 하나님,내가 태에서 남부터 안았고 배에서 남부터 업었나니 너희가 노년에 이르기까지 내가 그리하겠고,이사야 46:3-4,,
68,이사야 47:1-15,바벨론의 멸망,재앙이 네게 임하나 네가 그것을 압송할 수 없고 곤욕이 네게 이르리니 네가 그것을 면하지 못할 것이요,이사야 47:11,,
69,이사야 48:1-22,바벨론에서 나오라,너희는 바벨론에서 나오라 갈대아에서 도피하라 기뻐하는 소리로 선포하라,이사야 48:20,,
70,이사야 49:1-13,여호와의 종 둘째 노래 (1),내가 또 너를 이방의 빛으로 삼아 나의 구원을 베풀어 땅 끝까지 이르게 하리라,이사야 49:6,,눅 2:32
71,이사야 49:14-26,시온의 회복 (2),네 자녀들이 빨리 오고 너를 파괴하며 황폐하게 하던 자들이 네게서 떠날지라,이사야 49:17,,
72,이사야 50:1-11,여호와의 종 셋째 노래,나는 나를 때리는 자들에게 내 등을 맡기며 나의 수염을 뽑는 자들에게 나의 뺨을 맡기며,이사야 50:6,,
73,이사야 51:1-16,시온의 위로 (1),시온아 깰지어다 깰지어다 능력을 입을지어다,이사야 51:9,,
74,이사야 51:17-52:12,예루살렘의 회복 (2),좋은 소식을 전하며 평화를 공포하며 복된 좋은 소식을 전하며 구원을 공포하며,이사야 52:7,,
75,이사야 52:13-53:3,고난받는 종의 예언 (1),그는 멸시를 받아 사람에게 싫어 버린 바 되었으며 간고를 많이 겪었으며 질고를 아는 자라,이사야 53:3,,
76,이사야 53:4-9,대속의 죽음 (2),그가 찔림은 우리의 허물 때문이요 그가 상함은 우리의 죄악 때문이라 그가 징계를 받으므로 우리는 평화를 누리고,이사야 53:5,,
77,이사야 53:10-12,종의 승리 (3),그가 자기 영혼의 수고한 것을 보고 만족하게 여기리라 나의 의로운 종이 자기 지식으로 많은 사람을 의롭게 하며,이사야 53:11,,
78,이사야 54:1-17,황폐한 시온의 번성,너를 대적하여 만든 모든 연장이 쓸모가 없을 것이라 논쟁할 때에 너를 대적하는 모든 혀를 네가 정죄하리라,이사야 54:17,,
79,이사야 55:1-13,구원의 초청,너희는 여호와를 만날 만한 때에 찾으라 가까이 계실 때에 그를 부르라,이사야 55:6,,
80,이사야 56:1-12,이방인과 내시도 포함,내 집은 만민이 기도하는 집이라 칭함을 받으리라,이사야 56:7,마 21:13,
81,이사야 57:1-13,우상숭배 꾸짖음 (1),너희는 술수꾼의 자식이요 간음한 여인과 음창의 소생이라,이사야 57:3,,
82,이사야 57:14-21,겸손한 자의 회복 (2),높고 거룩한 곳에 살며 또한 통회하고 마음이 겸손한 자와 함께 살며,이사야 57:15,,
83,이사야 58:1-14,참된 금식,네 빛이 새벽같이 비칠 것이며 네가 빨리 나을 것이며,이사야 58:8,,
84,이사야 59:1-21,죄와 구원,대언자가 없는 것을 보시고 놀라셨으므로 자기 팔로 스스로 구원하시며,이사야 59:16,,
85,이사야 60:1-12,시온의 영광 (1),일어나라 빛을 발하라 이는 네 빛이 이르렀고 여호와의 영광이 네 위에 임하였음이니라,이사야 60:1,,
86,이사야 60:13-22,영원한 빛 (2),다시는 해가 네 낮의 빛이 되지 아니하며 달도 네게 빛을 비추지 않을 것은 여호와가 네 영원한 빛이 되시며,이사야 60:19,,
87,이사야 61:1-11,기름 부음 받은 자의 사역,주 여호와의 영이 내게 내리셨으니 이는 여호와께서 내게 기름을 부으사 가난한 자에게 아름다운 소식을 전하게 하려 하심이라,이사야 61:1,,눅 4:18-19
88,이사야 62:1-12,시온의 새 이름,너는 다시 버림받은 자라 불리지 아니하리라 너를 헵시바라 하며 네 땅을 불라라 하리니,이사야 62:4,,
89,이사야 63:1-19,에돔의 심판과 기도 (1),내가 내 진노로 만민을 밟았으며 내 분노로 그들을 취하게 하여 피를 땅에 쏟았노라,이사야 63:6,,
90,이사야 64:1-12,회개와 간구 (2),우리는 점토요 주께서는 토기장이시니 우리는 다 주의 손으로 지으신 것이니이다,이사야 64:8,,
91,이사야 65:1-16,순종하는 자와 반역하는 자,내가 벌써 일어나 손을 폈으나 보지 않고 모든 도모를 멸시하며,이사야 65:2,,
92,이사야 65:17-25,새 하늘과 새 땅,보라 내가 새 하늘과 새 땅을 창조하나니 이전 것은 기억되거나 마음에 생각나지 아니할 것이라,이사야 65:17,,
93,이사야 66:1-14,참된 예배와 시온의 회복 (1),여호와께서 이와 같이 말씀하시되 하늘은 나의 보좌요 땅은 나의 발판이니 너희가 나를 위하여 무슨 집을 지을까,이사야 66:1,,행 7:49-50
94,이사야 66:15-24,최후 심판과 영광 (2),그들이 나가서 내게 범죄한 자들의 시체들을 볼 것이라 그 벌레가 죽지 아니하며 그 불이 꺼지지 아니하여,이사야 66:24,,막 9:48
